,player_name,goals,year
0, Richarlison,2,2018/2019
1, Sadio Mané,2,2018/2019
2, Roberto Pereyra,2,2018/2019
3, Dele Alli,1,2018/2019
4, Rúben Neves,1,2018/2019
5, Ryan Fraser,1,2018/2019
6, Jorginho,1,2018/2019
7, Raúl Jiménez,1,2018/2019
8, N'Golo Kanté,1,2018/2019
9, Joselu,1,2018/2019
10, Paul Pogba,1,2018/2019
11, Pedro,1,2018/2019
12, Mohamed Salah,1,2018/2019
13, Jeffrey Schlupp,1,2018/2019
14, Luke Shaw,1,2018/2019
15, Raheem Sterling,1,2018/2019
16, Daniel Sturridge,1,2018/2019
17, Jamie Vardy,1,2018/2019
18, Bernardo Silva,1,2018/2019
19, Jan Vertonghen,1,2018/2019
0, Callum Wilson,1,2018/2019
1, Wilfried Zaha,1,2018/2019
0, Mohamed Salah,32,2017/2018
1, Harry Kane,30,2017/2018
2, Sergio Agüero,21,2017/2018
3, Jamie Vardy,20,2017/2018
4, Raheem Sterling,18,2017/2018
5, Romelu Lukaku,16,2017/2018
6, Roberto Firmino,15,2017/2018
7, Alexandre Lacazette,14,2017/2018
8, Gabriel Jesus,13,2017/2018
9, Eden Hazard,12,2017/2018
10, Riyad Mahrez,12,2017/2018
11, Glenn Murray,12,2017/2018
12, Son Heung-Min,12,2017/2018
13, Marko Arnautovic,11,2017/2018
14, Álvaro Morata,11,2017/2018
15, Pierre-Emerick Aubameyang,10,2017/2018
16, Christian Eriksen,10,2017/2018
17, Sadio Mané,10,2017/2018
18, Luka Milivojevic,10,2017/2018
19, Wayne Rooney,10,2017/2018
0, Leroy Sané,10,2017/2018
1, Chris Wood,10,2017/2018
2, Dele Alli,9,2017/2018
3, Ashley Barnes,9,2017/2018
4, Anthony Martial,9,2017/2018
5, Alexis Sánchez,9,2017/2018
6, David Silva,9,2017/2018
7, Wilfried Zaha,9,2017/2018
8, Kevin De Bruyne,8,2017/2018
9, Chicharito,8,2017/2018
10, Joshua King,8,2017/2018
11, Jesse Lingard,8,2017/2018
12, Oumar Niasse,8,2017/2018
13, Ayoze Pérez,8,2017/2018
14, Xherdan Shaqiri,8,2017/2018
15, Callum Wilson,8,2017/2018
16, Marcos Alonso,7,2017/2018
17, Charlie Austin,7,2017/2018
18, Jordan Ayew,7,2017/2018
19, Coutinho,7,2017/2018
0, Abdoulaye Doucouré,7,2017/2018
1, Olivier Giroud,7,2017/2018
2, Pascal Groß,7,2017/2018
3, Steve Mounie,7,2017/2018
4, Aaron Ramsey,7,2017/2018
5, Marcus Rashford,7,2017/2018
6, Jay Rodriguez,7,2017/2018
7, Salomón Rondón,7,2017/2018
8, Willian,6,2017/2018
9, Laurent Depoitre,6,2017/2018
10, Mame Biram Diouf,6,2017/2018
11, Dwight Gayle,6,2017/2018
12, Shinji Okazaki,6,2017/2018
13, Paul Pogba,6,2017/2018
14, Dusan Tadic,6,2017/2018
15, Bernardo Silva,6,2017/2018
16, Tammy Abraham,5,2017/2018
17, Eric Maxim Choupo-Moting,5,2017/2018
18, Peter Crouch,5,2017/2018
19, Richarlison,5,2017/2018
0, Troy Deeney,5,2017/2018
1, Ryan Fraser,5,2017/2018
2, Manolo Gabbiadini,5,2017/2018
3, Andre Gray,5,2017/2018
4, José Izquierdo,5,2017/2018
5, Manuel Lanzini,5,2017/2018
6, Fernandinho,5,2017/2018
7, James McArthur,5,2017/2018
8, Nacho Monreal,5,2017/2018
9, Roberto Pereyra,5,2017/2018
10, Junior Stanislas,5,2017/2018
11, Cenk Tosun,5,2017/2018
12, Patrick van Aanholt,5,2017/2018
13, Danny Welbeck,5,2017/2018
14, Dominic Calvert-Lewin,4,2017/2018
15, Jermain Defoe,4,2017/2018
16, Marouane Fellaini,4,2017/2018
17, Ilkay Gündogan,4,2017/2018
18, Joselu,4,2017/2018
19, Aaron Mooy,4,2017/2018
0, Mark Noble,4,2017/2018
1, Nicolás Otamendi,4,2017/2018
2, Mesut Özil,4,2017/2018
3, Pedro,4,2017/2018
4, Gylfi Sigurdsson,4,2017/2018
5, Chris Smalling,4,2017/2018
6, Sam Vokes,4,2017/2018
7, Michail Antonio,3,2017/2018
8, André Ayew,3,2017/2018
9, Christian Benteke,3,2017/2018
10, Emre Can,3,2017/2018
11, Andy Carroll,3,2017/2018
12, Sam Clucas,3,2017/2018
13, Danilo,3,2017/2018
14, Steven Davis,3,2017/2018
15, Demarai Gray,3,2017/2018
16, Vicente Iborra,3,2017/2018
17, Kelechi Iheanacho,3,2017/2018
18, Alex Iwobi,3,2017/2018
