,player_name,touches,year
0, James Milner,122,2018/2019
1, Jean Michael Seri,119,2018/2019
2, Rúben Neves,108,2018/2019
3, César Azpilicueta,106,2018/2019
4, Tom Cairney,105,2018/2019
5, Marcos Alonso,103,2018/2019
6, David Luiz,102,2018/2019
7, Wilfred Ndidi,100,2018/2019
8, Maxime Le Marchand,99,2018/2019
9, Luke Shaw,99,2018/2019
10, Trent Alexander-Arnold,98,2018/2019
11, Cyrus Christie,98,2018/2019
12, Jan Vertonghen,98,2018/2019
13, Kevin McDonald,93,2018/2019
14, Dan Gosling,91,2018/2019
15, Paul Pogba,91,2018/2019
16, Andrew Robertson,91,2018/2019
17, Ben Davies,90,2018/2019
18, Adrien Silva,88,2018/2019
19, Davinson Sánchez,88,2018/2019
0, Willy Boly,87,2018/2019
1, Calum Chambers,86,2018/2019
2, Antonio Rüdiger,86,2018/2019
3, Kyle Walker,86,2018/2019
4, Benjamin Mendy,84,2018/2019
5, Leighton Baines,83,2018/2019
6, Steve Cook,83,2018/2019
7, Christian Eriksen,81,2018/2019
8, Naby Keita,81,2018/2019
9, Charlie Daniels,80,2018/2019
10, Jorginho,80,2018/2019
11, Georginio Wijnaldum,80,2018/2019
12, Ryan Bennett,79,2018/2019
13, Ben Chilwell,79,2018/2019
14, Mark Noble,78,2018/2019
15, Ricardo Pereira,77,2018/2019
16, Serge Aurier,76,2018/2019
17, Etienne Capoue,76,2018/2019
18, Jack Stephens,76,2018/2019
19, John Stones,76,2018/2019
0, Andrew Surman,76,2018/2019
1, Joe Bryan,75,2018/2019
2, Matt Doherty,75,2018/2019
3, Andreas Pereira,75,2018/2019
4, João Moutinho,74,2018/2019
5, Eric Dier,72,2018/2019
6, Aymeric Laporte,72,2018/2019
7, Juan Mata,72,2018/2019
8, Fred,72,2018/2019
9, Abdoulaye Doucouré,71,2018/2019
10, Matteo Guendouzi,71,2018/2019
11, Nathan Aké,70,2018/2019
12, Joseph Gomez,70,2018/2019
